Date,Time,Location,Vehicle_Type,Avg_Speed_kmph,Congestion_Level_pct,Weather
2023-08-31,03:45,Station Road,Car,33.9,37.0,Rain
2023-04-22,01:45,South Park,Bicycle,17.4,12.7,Clear
2023-11-29,03:30,Old Town,Car,41.9,20.2,Clear
2023-11-18,22:00,University Rd,Bicycle,11.6,24.9,Rain
2023-09-05,13:45,Harbor Blvd,Car,28.0,50.1,Clear
2023-06-27,01:45,North Junction,Car,31.2,39.9,Cloudy
2023-05-05,20:15,North Junction,Car,39.5,14.4,Clear
2023-04-07,15:45,Harbor Blvd,Car,45.7,9.9,Cloudy
2023-04-28,21:30,Harbor Blvd,Auto-Rickshaw,12.0,25.5,Cloudy
2023-08-15,19:30,Market Street,Bus,14.2,65.3,Clear
2023-11-09,06:15,Central Ave,Car,27.7,39.6,Clear
2023-01-09,12:45,Market Street,Car,29.2,37.8,Clear
2023-03-15,17:30,Central Ave,Car,13.8,82.8,Clear
2023-08-05,13:45,Central Ave,Motorbike,41.1,40.2,Stormy
2023-05-18,02:15,North Junction,Car,34.5,22.1,Clear
2023-11-22,11:00,North Junction,Car,30.6,36.3,Cloudy
2023-03-11,12:45,South Park,Car,31.0,34.6,Clear
2023-12-27,04:00,Riverside,Car,31.5,31.8,Rain
2023-12-07,10:30,Harbor Blvd,Car,23.1,64.3,Stormy
2023-10-28,16:15,North Junction,Truck,19.3,64.0,Clear
2023-06-08,21:15,South Park,Motorbike,38.0,15.2,Rain
2023-11-08,19:45,Market Street,Car,14.8,89.3,Fog
2023-05-16,17:15,South Park,Car,25.0,64.2,Clear
2023-11-08,09:15,Market Street,Bus,7.6,89.9,Cloudy
2023-12-31,08:15,Station Road,Car,21.6,59.6,Cloudy
2023-06-02,10:15,Harbor Blvd,Car,24.3,46.3,Clear
2023-02-15,11:30,University Rd,Motorbike,30.0,37.2,Cloudy
2023-08-17,20:30,North Junction,Bus,25.6,32.2,Clear
2023-12-14,09:30,Market Street,Car,10.8,87.7,Clear
2023-08-08,06:15,North Junction,Car,37.3,28.4,Fog
2023-05-25,14:15,North Junction,Car,16.0,66.2,Cloudy
2023-09-06,16:00,Harbor Blvd,Motorbike,44.0,21.1,Clear
2023-01-20,17:15,North Junction,Car,26.8,61.3,Clear
2023-12-14,19:15,Old Town,Motorbike,30.4,54.0,Cloudy
2023-01-02,18:45,Market Street,Bus,20.2,43.0,Clear
2023-10-29,10:30,Market Street,Motorbike,25.6,62.6,Fog
2023-12-06,14:15,Riverside,Motorbike,32.2,38.1,Fog
2023-02-12,04:15,Industrial Zone,Motorbike,45.6,6.3,Clear
2023-07-01,20:45,Harbor Blvd,Car,30.3,28.4,Rain
2023-01-01,22:45,Harbor Blvd,Car,24.6,39.7,Fog
2023-11-04,05:15,South Park,Truck,25.5,21.3,Clear
2023-12-10,18:00,Riverside,Motorbike,43.2,32.5,Cloudy
2023-02-04,12:15,Central Ave,Car,33.2,34.0,Clear
2023-10-03,08:45,Old Town,Car,18.2,68.9,Clear
2023-01-16,05:30,Central Ave,Car,33.9,25.6,Clear
2023-01-06,08:15,North Junction,Auto-Rickshaw,5.4,100.0,Clear
2023-12-26,14:00,Station Road,Auto-Rickshaw,15.1,34.0,Cloudy
2023-09-18,07:45,Harbor Blvd,Car,16.5,77.4,Cloudy
2023-01-14,20:15,Central Ave,Car,33.8,19.1,Clear
2023-10-30,00:00,Old Town,Car,34.2,27.1,Clear
2023-11-19,10:00,North Junction,Auto-Rickshaw,11.8,60.0,Rain
2023-09-18,18:45,Market Street,Motorbike,36.6,36.2,Clear
2023-01-30,19:00,Station Road,Car,28.0,46.8,Clear
2023-08-09,01:15,Central Ave,Motorbike,35.2,42.4,Rain
2023-12-08,09:15,Market Street,Truck,11.3,81.1,Clear
2023-10-20,19:00,Industrial Zone,Car,28.0,58.2,Cloudy
2023-07-20,06:30,Riverside,Auto-Rickshaw,17.7,19.6,Rain
2023-11-12,07:45,Industrial Zone,Motorbike,25.9,63.8,Clear
2023-11-04,00:45,Central Ave,Motorbike,49.3,10.6,Clear
2023-04-22,13:30,Old Town,Car,35.8,38.2,Stormy
2023-12-27,21:45,Riverside,Car,47.7,10.3,Clear
2023-12-17,21:15,Central Ave,Car,26.6,53.4,Clear
2023-09-17,07:45,South Park,Car,23.6,65.5,Stormy
2023-12-30,09:30,South Park,Motorbike,29.2,47.5,Clear
2023-03-31,02:15,Industrial Zone,Car,41.2,21.1,Clear
2023-07-04,07:15,Market Street,Truck,16.3,77.1,Clear
2023-11-24,21:45,University Rd,Auto-Rickshaw,19.5,11.3,Clear
2023-08-23,16:45,Old Town,Truck,30.8,29.3,Clear
2023-03-28,10:30,Station Road,Motorbike,37.1,21.9,Clear
2023-07-12,07:15,South Park,Bus,19.2,35.1,Cloudy
2023-05-14,23:00,South Park,Auto-Rickshaw,25.2,4.3,Clear
2023-02-06,19:30,Market Street,Car,8.6,92.7,Cloudy
2023-06-08,00:45,Harbor Blvd,Car,30.6,29.1,Rain
2023-02-04,12:00,Harbor Blvd,Motorbike,34.1,45.5,Cloudy
2023-02-24,18:00,South Park,Auto-Rickshaw,20.6,42.4,Clear
2023-03-16,05:30,Industrial Zone,Motorbike,45.3,8.9,Clear
2023-04-11,00:15,North Junction,Motorbike,34.8,42.8,Cloudy
2023-04-30,23:30,Old Town,Motorbike,39.5,27.0,Cloudy
2023-11-01,23:00,South Park,Truck,26.2,19.9,Clear
2023-12-01,23:00,Industrial Zone,Bicycle,18.5,31.8,Cloudy
2023-01-15,04:00,Station Road,Truck,25.2,31.7,Cloudy
2023-01-22,08:15,Central Ave,Car,12.4,75.5,Clear
2023-11-13,18:15,University Rd,Motorbike,20.8,70.6,Clear
2023-09-06,09:00,North Junction,Bus,8.5,75.5,Clear
2023-05-23,07:15,University Rd,Motorbike,27.4,56.6,Clear
2023-11-01,00:15,Market Street,Car,27.7,44.6,Rain
2023-04-26,05:00,University Rd,Truck,28.2,10.3,Cloudy
2023-01-27,04:00,South Park,Car,29.4,33.9,Cloudy
2023-09-04,12:15,Riverside,Bus,17.9,40.5,Cloudy
2023-01-25,20:30,North Junction,Car,42.8,5.5,Clear
2023-09-12,18:15,Riverside,Car,16.1,74.6,Clear
2023-08-09,15:15,Riverside,Motorbike,25.2,50.3,Rain
2023-09-26,01:30,Central Ave,Car,30.9,36.5,Clear
2023-03-17,03:45,Market Street,Car,38.3,14.9,Clear
2023-08-20,21:00,Riverside,Car,42.6,0.0,Clear
2023-03-18,20:45,Industrial Zone,Bus,24.2,22.3,Rain
2023-03-19,11:30,Market Street,Motorbike,20.5,57.1,Rain
2023-05-06,16:45,Station Road,Car,22.0,60.8,Cloudy
2023-07-02,14:45,Industrial Zone,Car,26.1,35.2,Clear
2023-03-03,04:45,North Junction,Car,42.6,23.7,Rain
2023-08-24,01:30,North Junction,Car,28.6,29.9,Clear
2023-09-26,20:15,University Rd,Car,37.5,16.0,Clear
2023-10-25,06:00,Industrial Zone,Motorbike,39.9,23.5,Clear
2023-11-16,20:45,University Rd,Bus,19.3,23.8,Clear
2023-11-21,22:30,North Junction,Car,29.5,27.8,Clear
2023-10-03,01:30,Central Ave,Car,20.6,61.0,Rain
2023-03-19,10:15,University Rd,Car,34.5,32.1,Clear
2023-03-19,01:30,North Junction,Car,37.3,31.4,Fog
2023-02-26,00:30,Old Town,Car,34.0,30.0,Fog
2023-02-09,11:30,Station Road,Motorbike,36.4,40.3,Clear
2023-05-15,05:00,Riverside,Car,40.2,15.5,Clear
2023-06-05,05:30,University Rd,Car,40.6,7.4,Cloudy
2023-01-18,10:30,Market Street,Motorbike,28.8,48.6,Cloudy
2023-08-30,08:00,Central Ave,Car,8.9,96.1,Clear
2023-02-22,18:15,Old Town,Car,16.9,74.0,Clear
2023-09-16,02:30,Harbor Blvd,Motorbike,44.0,15.0,Clear
2023-01-08,19:00,University Rd,Car,27.6,52.8,Clear
2023-04-22,01:30,University Rd,Motorbike,30.4,50.4,Rain
2023-08-14,19:00,Market Street,Car,12.8,94.2,Clear
2023-07-19,13:30,University Rd,Bus,20.0,58.1,Rain
2023-07-29,01:30,North Junction,Motorbike,23.5,59.8,Clear
2023-06-23,06:00,North Junction,Auto-Rickshaw,22.2,5.5,Clear
2023-04-14,16:00,University Rd,Motorbike,36.4,41.7,Cloudy
2023-10-01,04:45,University Rd,Auto-Rickshaw,21.1,1.5,Clear
2023-12-24,00:30,Old Town,Auto-Rickshaw,24.7,0.0,Clear
2023-03-07,14:30,University Rd,Auto-Rickshaw,21.3,36.1,Clear
2023-11-24,07:15,University Rd,Bus,24.3,19.7,Clear
2023-01-18,22:30,Riverside,Bus,21.4,20.7,Cloudy
2023-02-21,06:15,Harbor Blvd,Bicycle,16.8,28.3,Clear
2023-04-11,13:00,North Junction,Car,20.3,54.5,Clear
2023-04-30,22:45,North Junction,Car,38.6,22.4,Cloudy
2023-03-15,22:45,Station Road,Bus,18.2,27.8,Clear
2023-11-16,09:45,University Rd,Truck,12.8,72.2,Cloudy
2023-12-09,17:15,University Rd,Bicycle,9.4,65.5,Clear
2023-01-22,21:15,Riverside,Car,33.6,28.8,Clear
2023-08-04,15:00,South Park,Car,33.2,37.4,Clear
2023-07-24,10:45,Riverside,Car,30.9,33.9,Clear
2023-03-24,01:00,University Rd,Bicycle,19.3,18.3,Clear
2023-09-12,10:30,Industrial Zone,Car,23.2,60.5,Clear
2023-08-12,08:15,North Junction,Motorbike,16.0,85.7,Clear
2023-11-03,00:00,Industrial Zone,Bus,20.0,36.2,Fog
2023-05-26,10:15,Riverside,Motorbike,30.3,43.9,Cloudy
2023-04-08,02:45,University Rd,Motorbike,39.4,23.7,Cloudy
2023-08-08,01:30,Riverside,Car,33.3,28.2,Clear
2023-02-20,22:45,Station Road,Car,38.6,19.5,Clear
2023-08-30,09:00,Market Street,Truck,12.6,80.2,Rain
2023-03-12,05:30,Riverside,Car,41.5,17.1,Cloudy
